id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
857281299158668312,Cosy Apartment With Acropolis View,507506883,Maria,,ΚΕΡΑΜΕΙΚΟΣ,37.97964174418742,23.71775775515732,Entire home/apt,50,1,15,2024-09-12,0.74,1,180,3,00003008385
857474423085292454,Cute apartment at the foot of lycabettus hill,2880260,Artemis,,ΛΥΚΑΒΗΤΤΟΣ,37.9838001,23.7519057,Entire home/apt,40,2,4,2024-06-30,0.20,1,300,1,00001963464
857691008002699202,Downtown studio in Pagkrati,318907929,Valentina,,ΠΑΓΚΡΑΤΙ,37.97123526724374,23.750726036508027,Entire home/apt,30,5,10,2024-11-23,0.56,7,364,5,00002195342
857705884447231271,Athens Design Suites - Iconic Suite,311687197,George,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9775557,23.7266288,Private room,139,1,0,,,14,353,0,00001378665
857765547121514387,"Comfortable apt, next to Archeological museum!",263903361,Kostas,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.99033,23.7300456,Entire home/apt,69,2,11,2023-11-23,0.55,1,353,0,00001963873
857776872867973101,"1Bedroom Maisonette Jacuzzi, LUX&EASY Metro Suites",466344270,LUXandEASY,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9560335,23.7272796,Entire home/apt,196,1,17,2024-05-19,0.96,15,327,7,00001790465
857835263020771233,Stylish apt in Athens center,144814182,Dropebnb,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98605149999999,23.740987,Entire home/apt,64,2,5,2023-12-01,0.24,48,261,0,00002904899
857854175234284452,Διαμέρισμα στην Αθήνα,223845995,Katerina,,ΒΟΤΑΝΙΚΟΣ,37.98424,23.71047,Entire home/apt,98,2,52,2024-11-03,2.56,2,247,23,00001923863
857950365632165851,Chic 2BR Bright Penthouse with Open Wood Staircase,507644698,George,,ΠΕΔΙΟ ΑΡΕΩΣ,37.99477644776448,23.733150617048544,Entire home/apt,320,3,26,2024-10-18,1.43,1,361,16,00001944086
858425485680446076,Alfa Luxury Home 2,240203476,Mario,,ΒΟΤΑΝΙΚΟΣ,37.97803422726205,23.706954829394817,Entire home/apt,200,2,9,2023-10-08,0.47,4,365,0,00637730158
858435973410776201,2-Bedroom Maisonette Jacuzzi-LUX&EASY Metro Suites,466344270,LUXandEASY,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9560335,23.7272796,Entire home/apt,226,1,7,2024-08-22,0.42,15,316,6,00001790423
858520749594844049,Riesige Luxuswohnung mit atemberaubender Terrasse,6750283,Jules,,ΖΑΠΠΕΙΟ,37.9676506,23.7365648,Entire home/apt,200,2,4,2024-06-09,0.22,1,359,2,00001950773
858566087696401505,Apartment in Athens,225061651,George,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.989486710688496,23.730362467467785,Entire home/apt,52,1,123,2024-12-10,5.89,1,263,67,00001978998
858631829532373147,Cozy Apartment Near Acropolis,206859215,Krisida,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98191,23.72016,Entire home/apt,40,2,99,2024-12-10,4.77,8,342,47,00002062886
858647042843406494,Athenian urban experience,40723282,Georgios,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9852773,23.7351758,Entire home/apt,,2,5,2023-11-10,0.24,13,0,0,00001955200
858713911634260123,Greek traditional home,149858888,Vasiliki,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00418668668749,23.732489875229497,Entire home/apt,26,1,68,2024-12-08,3.80,4,357,41,00001972424
858751650689394012,Acropolis Urban View,23963703,Urban House,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97654,23.72512,Entire home/apt,129,2,25,2024-03-18,1.21,2,322,3,00001792050
858798248955867180,"""Athens Square""",263940826,Alex,,ΝΕΟΣ ΚΟΣΜΟΣ,37.963152421786184,23.72790288180113,Entire home/apt,,2,3,2023-05-22,0.14,1,0,0,00001966496
859057890553298346,Wonderful apartment in the heart of Athens,75696468,Vasso,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97834258247693,23.723659340155713,Entire home/apt,50,4,58,2024-11-25,2.82,3,359,29,00001985115
859109601167741558,Modern studio apartment B,408295777,Άγγελος,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9951658,23.7313346,Entire home/apt,45,1,6,2024-10-22,0.44,2,359,5,00001960480
859288322102724757,Acropolis Luxurious Legacy,484008994,Polikratos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9632122,23.7227219,Entire home/apt,159,2,7,2024-10-12,0.33,5,334,2,00001968080
859299695071508216,Grandma's Apartment,16891107,Dimitris,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00083,23.73031,Entire home/apt,40,7,9,2024-08-13,0.45,1,268,3,00001969773
859392448740259578,"""Santorini"" Keramikos studio next to Acropolis",92310506,Sokol,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98073627581405,23.719823540924455,Entire home/apt,41,1,89,2024-12-03,4.27,42,232,49,1935446
859511288643500433,Agemo Central Athens  - Close to Metro,480597469,Christina,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99252,23.72457,Entire home/apt,45,2,25,2024-10-14,1.33,1,361,12,00001779236
